Отчет Наличие товаров к дате;;;;;;;;;;
;;;;;;;;;;
;;;Код;Группа;Товар;Ед. изм.;Количество;Приходная цена;Приходная ст-сть;
;;;105772;Служебная группа;Хеллей Сэндвич 28гр Улькер;шт.;29,000;17,75;514,75;
;;;102039;Детские товары;Малыш истринский 3 350гр;шт.;11,000;324,17;3565,87;
;;;97395;Напитки/Чай/Кисель;Чай Муслим 25пакетиков Эрл грей;шт.;16,000;96,00;1536,00;
;;;97908;Посуда/Средство для мытья посуды;Средство для мытья посуды 900гр АОС;шт.;5,000;125,00;625,00;
;;;98968;Напитки/Чай/Кисель;Чай калмыкский 60 пакетиков ХАН ЧАЙ;шт.;22,000;660,00;14520,00;
;;;96536;Продукты Питания/Молочка/Йогурт/Пудинг;Фруттис вкусный перерыв 175гр 2.5пр;шт.;1,000;82,39;82,39;
;;;1119304;Весовые товары/Конфеты;Аленка понч с вишней 150 гр;шт.;3,000;112,70;338,10;
;;;1119735;Продукты Питания/Крупы/Макароны/Хлопья/Крупы;Рис корона кавказа 700 гр;шт.;5,000;65,00;325,00;
;;;158;Весовые товары/Выпечка;Крекер Фигурный в Форме Игрушек КубКор (МС);кг;1,118;161,28;180,31;
;;;106934;Химия/Для себя/Полость рта;Зубная паста Голгате МаксБлеск 100мл;шт.;4,000;179,00;716,00;
;;;1119365;Продукты Питания/Консервы/Зелень;Бейсболка;шт.;28,000;163,70;4583,60;
;;;1119585;Посуда;Чайник 2157;шт.;4,000;200,00;800,00;
;;;1119542;Сладкое/Прочее/Милка;Скитлс евро 109 гр;шт.;16,000;135,00;2160,00;
;;;1119248;Напитки/Соки;J7 Ассорти 0.97л т/пакет персик;шт.;15,000;149,62;2244,24;
;;;98713;Сладкое/Прочее/Киндер;Киндер Буено 43гр вайт;шт.;45,000;77,00;3465,00;
;;;1116398;Посуда;Протеиновый десерт Кейк 50 гр тройной шоколад;шт.;23,000;104,40;2401,20;
;;;99399;Сладкое/Мармелад/Драже/Карамель/Мармелад;Мармелад Бебето 70гр;шт.;2,000;78,03;156,06;
;;;1117974;Напитки/Соки/Энергетик;Витамикс 2 л;шт.;161,000;84,00;13524,00;
;;;1119524;Служебная группа;Колготки детские Белино со стразами;шт.;4,000;180,00;720,00;
;;;2000999843939;Химия/Для себя;Мягкая кукла ушки;шт.;1,000;600,00;600,00;
;;;1335;Напитки/Кофе/Какао/Сливки/Кофе;Кофе 3 в 1 50порций GOLDEN EAGLE;шт.;5,000;536,00;2680,00;
;;;95017;Сладкое/Печенье/Пряники;Сдобные палочки 308гр СНЕЖКА;шт.;13,000;136,36;1772,73;
;;;1117609;Сладкое/Мармелад/Драже/Карамель/Мармелад;Мармелад в стакане;шт.;6,000;110,00;660,00;
;;;1118524;Продукты Питания/Крупы/Макароны/Хлопья;Лапша булдак со вкусом сыра;шт.;6,000;139,00;834,00;
;;;99404;Жевачка;Жевачка ЧЧ БигБабол 21гр;шт.;1,000;28,73;28,73;
;;;105755;Служебная группа;Крыло Замороженная 1кг;шт.;1,000;304,00;304,00;
;;;1119090;Для дома;Горелка газовая 1;шт.;5,000;170,00;850,00;
;;;774;Весовые товары/Мясное;Колбаски с сыром Абуев;кг;0,961;559,01;537,21;
;;;1119701;Детские товары;Набор посуды;шт.;2,000;550,00;1100,00;
;;;1118918;Фрукты/Овощи/Зелень/Овощи;Мартин апельсин 1.5 л;шт.;1,000;122,00;122,00;
;;;95419;Сладкое/Вафли/Зефир;Вафли 300гр ЯШКИНО;шт.;12,000;85,15;1021,80;
;;;1117822;Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар;Сахар корона кавказа 700 гр;шт.;8,000;59,00;472,00;
;;;2000999844221;Детские товары;Пенка-шампунь мое солнышко 400 мл;шт.;3,000;193,00;579,00;
;;;1117992;Сладкое/Мороженое;Мороженое волшебный дубай;шт.;4,000;105,00;420,00;
;;;96409;Продукты Питания/Крупы/Макароны/Хлопья;Фунчоза 400гр СЕН СОЙ;шт.;2,000;230,00;460,00;
;;;371;Весовые товары/Выпечка;Кумк колбаса круг чеченская;кг;19,557;530,00;10365,21;
;;;1118127;Химия/Для себя;Увлажняющий крем 4в1 зеленый;шт.;20,000;130,00;2600,00;
;;;2000999843988;ДЛЯ КАССЫ/Аксессуары;Кабель Х-902;шт.;5,000;180,00;900,00;
;;;2000999844328;Детские товары;Сказка нагрудник 3 шт -1;шт.;1,000;175,00;175,00;
;;;107448;Для дома/Салфетки;Салфетки Бумажные Жасмин 46л;шт.;30,000;20,00;600,00;
;;;99434;Химия/Для себя/Бритвы;Бритва Бик метал лента;шт.;2,000;26,42;52,83;
;;;94910;Сладкое/Вафли/Зефир;Мягкий десерт с суфле 288гр ДАРЛЕТТО;шт.;4,000;142,89;571,56;
