Unnamed: 0,Unnamed: 1,Unnamed: 2,Код,Группа,Наименование,Ед. изм.,Количество,Приходная цена,Розничная цена
,,,1117847,Продукты Питания/Морепродукты,Сельдь по царски ароматная 260 гр,шт.,2,257,309
,,,96452,Детские товары,Подгузники Памперс джамбо пак 3 82шт,шт.,4,1130,1356
,,,2000999844257,Детские товары,Бюбхен крем для младенцев 150 мл,шт.,3,370,445
,,,1118365,Продукты Питания/Молочка/Сгущенка,Сгущенка вареная жб 370 гр,шт.,18,112,137
,,,110888,Напитки/Соки,Нектар стом 1л Мультифрукт,шт.,1,132.83,160
,,,1119067,Канцтовары,Блок декоративный,шт.,1,55,85
,,,1118343,Служебная группа,Духи мужские свой 100 мл,шт.,4,329,2350
,,,1110,Весовые товары/Выпечка,Эклеры Заварные Варенка (Альфа),кг,4,215,275
,,,98150,Чипсы/Лейс,Лейс 140гр рифленые Сметана и лук,шт.,8,115.79,150
,,,222,Весовые товары/Мясное,Сосиски Султановские,кг,2.694,216.666666666667,245
,,,588,Весовые товары/Драже,Креветки Ваннамей,кг,10.936,730,855
,,,1119223,Напитки/Вода,Стик с пармезаном абуев,шт.,3,137,155
,,,488,Весовые товары/Мясное,Грудка куриная Эко Халяль,кг,9.362,484,598
,,,1117931,Обувь,Лейс из печи лосось и авакадо 80 гр,шт.,40,107.15,140
,,,103824,Напитки/Соки,Акапелла 0.5л Персик,шт.,5,79.365,110
,,,2000999844037,ДЛЯ КАССЫ/Посуда,Рис басмати 1 кг Марва,шт.,4,190,230
,,,1118408,Служебная группа,Джойкеры леденцы 10 гр,шт.,10,85.390625,110
,,,108258,Сушеные Рыба/Говядина,Куриные снеки 80гр ХасПродукт,шт.,1,263,320
,,,1116658,Продукты Питания/Консервы/Мясо,Соус АВИРА Остро-Жгучий 220 гр,шт.,14,45,68
,,,1118603,Электроника,Прожектор 50 вт,шт.,2,379.52,465
,,,1119213,Сладкое/Мороженое,Спиролло с шариками,шт.,2,107.5,135
,,,2000999844315,Детские товары,Гель для мытья Алоэ вера,шт.,1,287,345
,,,104524,Сигареты,Плитка Яшкино с Арахисом 90гр,шт.,3,85.1,110
,,,2000999844263,Детские товары,Нагрудник Ювитон,шт.,1,209,267
,,,1118471,Электроника,Держатель 135,шт.,2,230,380
,,,99913,Семечки,Семечки Олимпия полосатые с солью 200гр,шт.,2,130,160
,,,2000999844118,Химия/Для себя/Прокладки,Влажные салфетки Ангел 144 шт,шт.,15,100,150
,,,1118612,Весовые товары/Мясное,Сырные палочки солонина,шт.,2,175.2,285
,,,53,Весовые товары/Выпечка,Пряники сырцовые Чудесные творожные 30сут (Альфа) 23дн,кг,1.378,139.5,207
,,,1118680,Продукты Питания/Молочка,Сыр копченый станицыно 150 гр,шт.,4,112,140
,,,103481,Продукты Питания/Полуфабрикаты,Булочки для Хот Дога240гр БагерСтар,шт.,7,128.53,157
,,,105956,Напитки/Чай/Кисель,Чай Кежо 95гр Мята,шт.,4,112.36,145
,,,1343,Сладкое/Шоколадные плитки/пасты,Шоколад горький 100гр MERCI,шт.,7,160,200
,,,101662,Сладкое/Прочее/Готовый завтрак (Хлопья),Подушечки Любятого 220гр,шт.,3,135,160
,,,99451,Химия/Бытовая химия,Белизна плюс 1000гр,шт.,12,43,63
,,,103564,Чипсы/Лейс,Лейс 70гр рифленые Паприка,шт.,33,66,100
,,,1117951,Игрушки/Пистолеты/Мячи,Мяч футбольный дорогой 1,шт.,5,420,550
,,,97566,Напитки/Соки,Гуниб 0.75л,шт.,6,98.32,135
,,,1115677,Электроника/Гаджеты,Кабель X59 2м,шт.,2,270,400
,,,2000999844451,Для дома/Салфетки,Влажные салфетки эконом 120 шт,шт.,30,86,
,,,1118442,Химия/Бытовая химия,Крем для лица с рисом 200 мл,шт.,5,100,200
,,,98029,Напитки/Соки,Сок Фри фруит 0.2л,шт.,51,35.5,50
,,,95392,Для дома/Салфетки,Салфетки соффиван  2 пары,шт.,1,150,185
,,,1118721,Жевачка,Орбит 67 гр,шт.,3,266.666666666667,320
,,,1119413,Игрушки,Кот 2479,шт.,2,580,800
,,,531,Весовые товары/Выпечка,В гостях у дества (Алфавит) Т051 (МС),кг,0.512,168.209090909091,225
,,,107340,Продукты Питания/Крупы/Макароны/Хлопья,Кашка Минутка 5пак 185гр,шт.,10,70.74,95
,,,96171,Продукты Питания/Молочка,Сыр российский Чабан 180гр,шт.,5,195,235
,,,98739,Для дома,Спирали от комаров Риттер 10шт,шт.,11,55,85
,,,1118327,Для дома/Салфетки,Губчатая салфетка для уборки,шт.,4,70,100
,,,2000999844416,Служебная группа,Морской коктейль в рассоле 210 гр,шт.,2,179,
,,,98800,Электроника/Гаджеты,Наушники беспроводные AirPods 3,шт.,2,2000,2900
,,,1118198,Химия/Для себя/Крем,Спонжик в железной упаковке,шт.,32,49,120
,,,1119549,Сладкое/Прочее/Милка,Милка печенье чоко минис 150 гр,шт.,4,135,165
,,,2000999844324,Детские товары,Лулу крем под подгузник 75 мл,шт.,5,262,317
,,,108197,Напитки/Кофе/Какао/Сливки,МакКоффее 3 в 1 Сгущ Молоко 50шт,шт.,5,719,865
,,,110146,Сладкое/Прочее,Сладкая Вата 11г ЧупаЧупс,шт.,3,51.2875,78
,,,2000999844272,Детские товары,Бусинка мягкая ложка,шт.,4,70,103
,,,96427,Напитки/Соки,Спрайт 0.9л,шт.,33,79.1666666666667,120
,,,100031,Напитки/Кофе/Какао/Сливки,Кофе Латте со вкусом карамели 22гр х 20 х 20,шт.,1,293,350
,,,491,Весовые товары/Мясное,"ММ Колбаса Кавказская п/к, кат.Б",кг,0.728,470,565
,,,103505,Чипсы/Лейс,Лейс 140гр Малосольные огурчики,шт.,59,128.95,165
,,,1118411,Служебная группа,Конг клубника 500 гр Ихляс,шт.,7,340,412
,,,100623,Продукты Питания/Молочка/Молоко/Кефир/Сливки,молоко простоквашино 930 гр 2.5пр,шт.,3,89.99,120
,,,106430,Химия/Ароматная,Жидкое крем-мыло Милана 1л,шт.,2,130.5,156
,,,2000999844266,Детские товары,Детская ложечка с мягкие наконечником,шт.,5,79,112
,,,1119716,Продукты Питания,Золотой стандарт черника 475 гр,шт.,1,465,547
,,,1119488,Химия/Для себя/Шампунь,Ножницы зингер 33,шт.,4,165,200
,,,102641,Продукты Питания/Консервы/Зелень,Перец красный чили маринованный 370мл Практик,шт.,24,149,185
,,,1119446,Напитки/Соки,Гуниб абрикос 0.75 мл,шт.,4,98.29,125
,,,100999,Фрукты/Овощи/Зелень/Зелень,петрушка кудрявая,шт.,24,15,45
,,,98921,Чипсы,Картофельная соломка 40гр Гриззон (Альфа),шт.,39,26,40
,,,1119115,Продукты Питания/Молочка/Йогурт/Пудинг,Экспонента 500 гр киви,шт.,6,145,176
,,,105508,Служебная группа,Фрут-телла 41гр,шт.,21,30.952380952381,50
,,,1118995,ДЛЯ КАССЫ/Посуда,Кружка для супа Шефс,шт.,2,140,200
,,,1119177,Для дома,Патрон черный,шт.,10,52.34,78
,,,97340,Напитки/Кофе/Какао/Сливки/Кофе,Кофе Бушидо 50гр Блэк Катана,шт.,7,550,660
,,,95008,Чипсы/Лейс,Лейс из печи 85гр Лисички в сметане,шт.,4,107.15,140
,,,100087,Детские товары,НАН 400гр 4,шт.,6,650,775
,,,223,Весовые товары/Вафли вес,Печенье кофе зерна Мир сладостей,кг,3.004,197.48,275
,,,110380,Химия/Для себя/Салфетки влажные,Влажные салфетки 20шт Флора,шт.,2,22.97,35
,,,2000999844396,Химия/Для себя/Полость рта,Аэрозоль Glade 300 мл японский сад,шт.,4,127.24,0
,,,99975,Напитки/Соки,Рич 1л,шт.,3,101.166666666667,120
,,,1119251,Семечки,Фисташки триумф 130 гр,шт.,11,198,242
,,,1118699,Химия/Для себя/Полость рта,Зубная паста жемчуг хвойный,шт.,4,62,87
,,,96987,Чипсы,Мега чипсы 50гр Острые,шт.,4,53.61,80
,,,1118794,Канцтовары,Альбом 24 л,шт.,1,55,90
,,,100712,ДЛЯ КАССЫ/Кухня,Колбаса  варенная Сельская 370 гр,шт.,2,245,297
,,,1117522,Посуда,Протеиновый десерт капсы 70 гр,шт.,5,104.4,138
,,,107331,Кошачьи товары,Корм Для Кошек 75гр Феликс Курица,шт.,8,25.99,35
,,,99424,Продукты Питания/Специи,Панировачные сухари золотистые 200гр Лавка пряностей,шт.,8,50,75
,,,1198,Напитки/Чай/Кисель,Чай Муслим эрл грей 200 гр с Бергамотом,шт.,3,300,360
,,,1118399,Напитки/Соки,Кока кола жб 160 мл,шт.,2,95,120
,,,99524,Продукты Питания/Молочка/Сыр/Копченый Сыр,Сыр Плавленый Президент 140гр Сливочный (треуголники),шт.,1,128.39,157
,,,274,Весовые товары/Мясное,Рыба Скумбрия замороженная,кг,14.752,410,547
,,,1118360,Химия,Чудо отбеливатель я твое 1 кг,шт.,1,245,320
,,,95284,Напитки/Соки,Сок Дары Кубани трубочка 0.2 л,шт.,4,27.59,43
,,,110376,Продукты Питания/Консервы/Мясо,Шпроты премиум 160гр ЗА РОДИНУ,шт.,3,123.53,148
,,,2000999844152,Весовые товары/Мясное,Стрипсы оригинальные 2 кг,шт.,1,1392,1675
,,,474,Весовые товары/Выпечка,Заварные пальчики Альфа,кг,1.888,375.2,348
,,,1116535,Продукты Питания/Майонез/Кетчуп/Уксус и т.п.,Шоколадно ореховая паста 270 гр Беби Фокс,шт.,1,184,220
,,,1119092,Для дома,Рулетка 3 м,шт.,1,120,160
,,,2000999844105,Жевачка,Холлс 25гр мятный,шт.,20,30,50
,,,317,Весовые товары/Мясное,Креветки королевская вес,кг,3.374,637,785
,,,1119659,Для дома,Клей 6 гр супер,шт.,24,5,20
,,,102166,Продукты Питания/Павильное Питание,Хлебцы Dr.Korner 100гр Медовые,шт.,1,68.81,103
,,,1118806,Для дома,Швабра 2829,шт.,2,950,1280
